Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
528,Buddy Kennedy,27,SFG,NL,-0.3,20,38,33,2,4,0,0,0,1,0,0,4,11,.121,.237,.121,.358,6,.185,7,4,0,1,0,0,0,5/HD134,,kennebu01
528,Buddy Kennedy,27,SEA,AL,-0.1,5,11,10,2,1,1,0,0,0,0,0,1,4,.100,.182,.200,.382,11,.260,66,2,0,0,0,0,0,/54H,,kennebu01
529,Sam Haggerty#,32,TEX,AL,-0.3,35,47,44,3,7,1,0,0,1,2,0,2,16,.159,.213,.182,.395,17,.194,12,8,1,1,0,0,0,7H/81D,,haggesa01
530,Sean Keys*,23,TOR,AL,0.1,18,47,45,7,9,1,0,2,7,0,0,2,18,.200,.234,.356,.590,60,.276,65,16,0,0,0,0,0,/3DH5,,keysse01
531,Nate Eaton,29,BOS,AL,0.5,18,46,39,3,5,2,0,1,6,2,0,5,13,.128,.261,.256,.517,48,.257,50,10,0,2,0,0,0,/78DH9,,eatonna01
532,Connor Joe,33,SEA,AL,0.1,21,45,39,2,7,2,0,1,3,2,0,6,15,.179,.289,.308,.597,74,.304,89,12,1,0,0,0,0,9/H37,,joeco01
533,Will Wagner*,27,SDP,NL,0.0,16,45,35,5,9,1,0,0,0,0,0,10,7,.257,.422,.286,.708,105,.354,127,10,2,0,0,0,1,D/4H5,,wagnewi01
534,Tsung-Che Cheng*,24,BOS,AL,-0.1,14,44,39,7,10,1,0,0,5,0,2,4,14,.256,.318,.282,.600,73,.247,67,11,1,0,0,1,0,6/H,,chengts01
535,Sandy León#,37,ATL,NL,-0.6,21,44,44,0,4,0,0,0,0,0,0,0,18,.091,.091,.091,.182,-50,.082,-73,4,0,0,0,0,0,2,,leonsa01
536,Kameron Misner*,28,KCR,AL,-0.6,18,44,41,2,9,1,0,0,4,3,1,2,17,.220,.256,.244,.500,43,.231,34,10,0,0,1,0,0,/8H97D,,misneka01
537,Christian Franklin,26,BAL,AL,0.2,16,42,34,3,5,2,0,0,0,2,0,6,12,.147,.310,.206,.515,51,.266,57,7,0,2,0,0,0,/87HD,,frankch02
538,Tyler Locklear,25,ARI,NL,0.1,15,42,36,8,10,3,0,1,6,1,0,4,9,.278,.357,.444,.802,122,.356,120,16,3,1,0,1,0,3/HD,,locklty01
539,Ray Delgado*,26,HOU,AL,0.1,19,41,37,4,9,1,0,1,4,0,0,3,7,.243,.300,.351,.651,85,.291,82,13,0,0,1,0,0,/456H,,delgara02
540,Luke Maile,35,KCR,AL,-0.2,15,41,37,2,6,1,0,1,5,0,0,4,12,.162,.244,.270,.514,46,.237,44,10,2,0,0,0,0,2/1H,,mailelu01
541,Lucas Spence*,23,HOU,AL,-0.2,14,41,37,4,6,1,0,0,3,0,1,3,15,.162,.244,.189,.433,26,.197,26,7,0,1,0,0,0,8/H,,spenclu01
542,Gage Workman*,26,2TM,2LG,-0.5,18,41,41,3,7,4,0,2,8,0,0,0,17,.171,.171,.415,.585,57,.244,46,17,1,0,0,0,0,5/H4D7,,workmga01
542,Gage Workman*,26,DET,AL,-0.5,16,38,38,3,6,3,0,2,5,0,0,0,16,.158,.158,.395,.553,48,.231,36,15,0,0,0,0,0,5/H4D,,workmga01
542,Gage Workman*,26,SDP,NL,0.0,2,3,3,0,1,1,0,0,3,0,0,0,1,.333,.333,.667,1.000,173,.417,171,2,1,0,0,0,0,/57H,,workmga01
543,Ronny Simón#,26,PIT,NL,0.1,12,40,37,5,12,2,0,0,2,2,0,2,5,.324,.359,.378,.737,101,.339,98,14,3,0,1,0,0,/9DH7,,simonro01
544,Carson Williams,23,TBR,AL,-0.5,16,40,37,7,4,1,0,1,6,0,0,2,13,.108,.154,.216,.370,2,.167,-12,8,1,0,1,0,0,/64HD5,,willica02
545,Nate Furman*,24,SFG,NL,-0.2,22,39,32,2,4,0,0,0,3,0,0,5,10,.125,.243,.125,.368,9,.192,7,4,1,0,2,0,0,4/HD,,furmana01
546,Parker Meadows*,26,DET,AL,0.1,12,39,36,3,9,1,1,0,2,3,0,2,10,.250,.308,.333,.641,80,.304,75,12,0,1,0,0,0,8/H,,meadopa01
547,Félix Reyes,25,PHI,NL,-0.6,12,38,38,2,6,1,0,1,2,0,0,0,9,.158,.158,.263,.421,10,.179,-11,10,1,0,0,0,0,/7359H,,reyesfe01
548,George Valera*,25,CLE,AL,-0.2,13,38,37,1,8,3,0,0,6,0,0,1,8,.216,.237,.297,.534,51,.261,61,11,1,0,0,0,0,/79HD,,valerge01
549,Junior Pérez,24,CHW,AL,-0.1,22,36,35,5,6,0,0,3,6,0,1,1,14,.171,.194,.429,.623,68,.248,59,15,0,0,0,0,0,7/8H9D,,perezju03
