pitcher,pitch_type,n,naive_in,inferred_in
Austin Davis,FC,53,13.180304418284042,10.908823570510584
Austin Davis,SI,52,14.335442035072589,11.154727488497326
Austin Davis,ST,33,15.558868292986142,12.478765838313835
Austin Gomber,ALL,2476,10.909815799502839,9.930038297067401
Austin Gomber,CH,504,10.781555852784615,10.012932062298372
Austin Gomber,FF,993,10.974320585793476,9.598420919161367
Austin Gomber,KC,559,11.221517516276725,10.594459006598761
Austin Gomber,SI,1,7.151742589142315,11.8597465929567
Austin Gomber,SL,419,10.130716472087439,9.987162413459464
Austin Hedges,ALL,16,10.799106634057745,8.500083061200048
Austin Hedges,EP,6,18.17554150782592,12.219758795304907
Austin Hedges,FA,10,10.292486832851024,7.9154513498256005
Austin Kitchen,ALL,152,10.799622348938977,8.855899465162935
Austin Kitchen,CH,26,8.11417229297742,7.165500530977446
Austin Kitchen,CU,16,9.102608773112628,9.541034557401579
Austin Kitchen,FF,12,14.386791857845727,7.983826228942867
Austin Kitchen,SI,62,11.117781200347167,9.66806672474814
Austin Kitchen,ST,36,11.426252622841771,9.608879958519019
Austin Pruitt,ALL,76,8.461850805786451,7.830870313078025
Austin Pruitt,CH,10,8.565596790421344,7.357339361214718
Austin Pruitt,CU,7,5.918575923307504,6.861136715889019
Austin Pruitt,FF,22,7.894627196349193,8.824014314332175
Austin Pruitt,SI,10,9.574091127092498,5.730137461078945
Austin Pruitt,SL,27,8.539368412829894,8.672328395081207
Austin Voth,ALL,853,10.85002992697478,9.78306393756524
Austin Voth,CU,155,13.487133448554468,12.047810785345753
Austin Voth,FC,286,9.870049307232659,9.295599073210823
Austin Voth,FF,203,8.94310898758201,8.850672718811436
Austin Voth,ST,209,11.774083032901832,10.317038236146034
Austin Warren,ALL,160,10.258091179461127,9.634417253392897
Austin Warren,FC,22,9.655390261958509,7.8057725784617755
Austin Warren,FF,30,10.931798310395397,10.945242037417831
Austin Warren,SI,43,10.56814017740827,9.059327982313661
Austin Warren,ST,65,9.737319930470578,10.010118759701395
Bailey Falter,ALL,2048,10.532006074392644,9.725788894501825
Bailey Falter,CU,310,12.106995287564567,10.940963785354688
Bailey Falter,FF,1000,10.183162497815513,9.433554483377193
Bailey Falter,FS,10,14.429112099208876,14.266665455332106
Bailey Falter,SI,284,8.895834637771534,9.25487493419966
Bailey Falter,SL,444,11.82501552374203,10.215912393678355
Bailey Horn,ALL,283,9.737868447519054,10.07674663258772
Bailey Horn,CU,20,10.373478085020286,11.337230427088473
Bailey Horn,FC,30,9.872326442836346,10.412564159953419
Bailey Horn,FF,68,9.655966369057019,9.773561708509835
Bailey Horn,ST,165,9.667613764748584,10.10766484981445
Bailey Ober,ALL,2487,9.649233259509618,8.333756155272058
Bailey Ober,CH,721,12.061459268659645,8.890657611074348
Bailey Ober,CU,26,11.414140217964103,12.216936240957676
Bailey Ober,FF,967,8.422934485518248,7.749309207822549
Bailey Ober,SL,486,8.147025276146536,7.66778312770043
Bailey Ober,ST,287,12.241231873802596,11.304643319834078
Beau Brieske,ALL,1204,12.128740294923091,10.111122388416513
Beau Brieske,CH,325,13.189222938532358,9.676613379577425
Beau Brieske,FF,478,10.923498997780953,10.282598495221059
Beau Brieske,SI,198,11.573973304190154,8.776328993259867
Beau Brieske,SL,203,14.389480608602137,11.763439776056515
Ben Brown,ALL,806,12.707917456835585,11.09760054803219
Ben Brown,CH,14,10.007221575945088,9.453107994919122
Ben Brown,FF,506,12.377181504001806,10.399864325647073
